"2500 Days, 20 Epoches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Max Execution= 100%,,,,,,Daily Max Execution= 80%,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mean,STDEV,Win-rate,,,,Mean,STDEV,Win-rate,,,,,,,,,,,,,,,,,,,,,
AAPL,RL-TWAP,0.95,2.65,33%,,AAPL,RL-TWAP,1.3,2.66,33%,,,,,,,,,,,,,,,,,,,,,
,RL-AC,-0.55,0.03,100%,,,RL-AC,-0.21,0,100%,,,,,,,,,,,,,,,,,,,,,
MSFT,RL-TWAP,8.74,4.77,6%,,MSFT,RL-TWAP,11.91,4.8,0%,,,,,,,,,,,,,,,,,,,,,
,RL-AC,-3.85,0.07,100%,,,RL-AC,-0.67,0.03,100%,,,,,,,,,,,,,,,,,,,,,
GOOGL,RL-TWAP,3.14,2.14,6%,,GOOGL,RL-TWAP,4.44,2.14,0%,,,,,,,,,,,,,,,,,,,,,
,RL-AC,-0.49,0.03,100%,,,RL-AC,0.8,0.04,0%,,,,,,,,,,,,,,,,,,,,,
AMZN,RL-TWAP,0.13,3.35,40%,,AMZN,RL-TWAP,0.85,3.35,40%,,,,,,,,,,,,,,,,,,,,,
,RL-AC,-0.78,0.02,100%,,,RL-AC,-0.07,0.01,100%,,,,,,,,,,,,,,,,,,,,,
TSLA,RL-TWAP,2.49,10.51,40%,,TSLA,RL-TWAP,4.73,10.5,40%,,,,,,,,,,,,,,,,,,,,,
,RL-AC,-3.86,0.16,100%,,,RL-AC,-1.62,0.01,100%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,20,1.3,2.66,33%,-0.21,0,100%,11.91,4.8,0%,-0.67,0.03,100%,4.44,2.14,0%,0.8,0.04,0%,0.85,3.35,40%,-0.07,0.01,100%,4.73,10.5,40%,-1.62,0.01,100%
