Train Coverage,Total Epoches,AAPL_Mean_RL-TWAP,AAPL_STDEV_RL-TWAP,AAPL_WinRate_RL-TWAP,AAPL_Mean_RL-AC,AAPL_STDEV_RL-AC,AAPL_WinRate_RL-AC,MSFT_Mean_RL-TWAP,MSFT_STDEV_RL-TWAP,MSFT_WinRate_RL-TWAP,MSFT_Mean_RL-AC,MSFT_STDEV_RL-AC,MSFT_WinRate_RL-AC,GOOGL_Mean_RL-TWAP,GOOGL_STDEV_RL-TWAP,GOOGL_WinRate_RL-TWAP,GOOGL_Mean_RL-AC,GOOGL_STDEV_RL-AC,GOOGL_WinRate_RL-AC,AMZN_Mean_RL-TWAP,AMZN_STDEV_RL-TWAP,AMZN_WinRate_RL-TWAP,AMZN_Mean_RL-AC,AMZN_STDEV_RL-AC,AMZN_WinRate_RL-AC,TSLA_Mean_RL-TWAP,TSLA_STDEV_RL-TWAP,TSLA_WinRate_RL-TWAP,TSLA_Mean_RL-AC,TSLA_STDEV_RL-AC,TSLA_WinRate_RL-AC
25,25,-3.94,2.65,6%,-1.23,0.04,0%,-12.41,4.72,0%,4.37,0.11,100%,-4.55,2.13,0%,0.23,0.02,100%,-2.43,3.41,26%,-0.28,0.04,0%,-11.38,10.6,13%,4.59,0.13,100%
50,25,-3.67,2.68,13%,-1.3,0.04,0%,-11.64,4.8,0%,4.04,0.11,100%,-4.45,2.13,0%,0.2,0.03,100%,-2.55,3.35,26%,-0.32,0.03,0%,-11.73,10.51,13%,4.33,0.36,100%
75,25,-2.66,2.67,26%,-0.64,0.02,0%,-20.95,4.85,0%,-6.12,0.13,0%,-8.11,2.14,0%,-3.73,0.12,0%,-3.44,3.32,20%,-1.68,0.04,0%,-16.47,10.69,6%,-4.17,0.26,0%
100,25,-3.31,2.66,13%,-1.4,0.01,0%,-10.65,4.73,0%,3.53,0.05,100%,-4.07,2.13,0%,0.1,0.01,100%,-1.99,3.34,26%,-0.54,0.02,0%,-7.5,10.5,20%,2.51,0.19,100%
25,50,-3.94,2.65,6%,-1.23,0.04,0%,-12.41,4.72,0%,4.37,0.11,100%,-4.55,2.13,0%,0.23,0.02,100%,-2.43,3.41,26%,-0.28,0.04,0%,-11.38,10.6,13%,4.59,0.13,100%
50,50,-3.67,2.68,13%,-1.3,0.04,0%,-11.64,4.8,0%,4.04,0.11,100%,-4.45,2.13,0%,0.2,0.03,100%,-2.55,3.35,26%,-0.32,0.03,0%,-11.73,10.51,13%,4.33,0.36,100%
75,50,-2.66,2.67,26%,-0.64,0.02,0%,-20.95,4.85,0%,-6.12,0.13,0%,-8.11,2.14,0%,-3.73,0.12,0%,-3.44,3.32,20%,-1.68,0.04,0%,-16.47,10.69,6%,-4.17,0.26,0%
100,50,-3.31,2.66,13%,-1.4,0.01,0%,-10.65,4.73,0%,3.53,0.05,100%,-4.07,2.13,0%,0.1,0.01,100%,-1.99,3.34,26%,-0.54,0.02,0%,-7.5,10.5,20%,2.51,0.19,100%
25,75,-3.94,2.65,6%,-1.23,0.04,0%,-12.41,4.72,0%,4.37,0.11,100%,-4.55,2.13,0%,0.23,0.02,100%,-2.43,3.41,26%,-0.28,0.04,0%,-11.38,10.6,13%,4.59,0.13,100%
50,75,-3.67,2.68,13%,-1.3,0.04,0%,-11.64,4.8,0%,4.04,0.11,100%,-4.45,2.13,0%,0.2,0.03,100%,-2.55,3.35,26%,-0.32,0.03,0%,-11.73,10.51,13%,4.33,0.36,100%
75,75,-2.66,2.67,26%,-0.64,0.02,0%,-20.95,4.85,0%,-6.12,0.13,0%,-8.11,2.14,0%,-3.73,0.12,0%,-3.44,3.32,20%,-1.68,0.04,0%,-16.47,10.69,6%,-4.17,0.26,0%
100,75,-3.31,2.66,13%,-1.4,0.01,0%,-10.65,4.73,0%,3.53,0.05,100%,-4.07,2.13,0%,0.1,0.01,100%,-1.99,3.34,26%,-0.54,0.02,0%,-7.5,10.5,20%,2.51,0.19,100%
